timestamp,exchange,product,order_type,usd_value,size,mid_price,num_orders
10/5/22 22:39,coinbase,BTC-USD,bids,99021.22653,4.91717398,20137.83261,22
10/5/22 22:39,coinbase,BTC-USD,asks,108001.2718,5.3607798,20146.55998,35
10/5/22 22:39,coinbase,ETH-USD,bids,100755.2056,74.45196211,1353.291475,37
10/5/22 22:39,coinbase,ETH-USD,asks,113039.8917,83.49388374,1353.870328,18
10/5/22 22:39,binance,BTCUSDT,bids,105906.3461,5.25896,20138.26804,5
10/5/22 22:39,binance,BTCUSDT,asks,99384.07742,4.93475,20139.63776,24
10/5/22 22:39,binance,ETHUSDT,bids,109193.3304,80.7123,1352.871004,22
10/5/22 22:39,binance,ETHUSDT,asks,94328.05114,69.6962,1353.417419,24
10/5/22 22:41,coinbase,BTC-USD,bids,64780.61403,3.2212294,20110.52489,28
10/5/22 22:41,coinbase,BTC-USD,asks,100537.751,4.99748538,20117.66786,28
10/5/22 22:41,coinbase,ETH-USD,bids,103889.5339,76.85110602,1351.828741,21
10/5/22 22:41,coinbase,ETH-USD,asks,96437.04636,71.30985816,1352.366263,27
10/5/22 22:41,binance,BTCUSDT,bids,99137.24813,4.93006,20108.73055,17
10/5/22 22:41,binance,BTCUSDT,asks,107506.7576,5.3458,20110.50874,6
10/5/22 22:41,binance,ETHUSDT,bids,99039.93201,73.281,1351.509013,27
10/5/22 22:41,binance,ETHUSDT,asks,105726.7952,78.2119,1351.799345,13
10/5/22 22:44,coinbase,BTC-USD,bids,93460.83512,4.64638071,20114.76049,34
10/5/22 22:44,coinbase,BTC-USD,asks,103021.5703,5.11968399,20122.64244,31
10/5/22 22:44,coinbase,ETH-USD,bids,104010.3404,76.90219378,1352.501603,26
10/5/22 22:44,coinbase,ETH-USD,asks,80383.47765,59.40806437,1353.073501,21
10/5/22 22:44,binance,BTCUSDT,bids,101038.473,5.02301,20115.12479,10
10/5/22 22:44,binance,BTCUSDT,asks,99072.22948,4.92481,20116.96481,25
10/5/22 22:44,binance,ETHUSDT,bids,100736.3342,74.4905,1352.338006,14
